iter	RMSE
203	4.768749216
204	4.764602005
205	4.759855522
206	4.75676899
207	4.752486995
208	4.750187602
209	4.747717587
210	4.744791985
211	4.743820791
212	4.740682038
213	4.736166871
214	4.734078065
215	4.731319256
216	4.72854596
217	4.727710872
218	4.721382294
219	4.717755377
220	4.71379392
221	4.709193763
222	4.702664985
223	4.700733432
224	4.696620406
225	4.69195762
226	4.688693492
227	4.685130862
228	4.682165398
229	4.679088175
230	4.675513825
231	4.671523584
232	4.664403723
233	4.661439493
234	4.658520124
235	4.654514609
236	4.652912826
237	4.64596455
238	4.642180393
239	4.639930364
240	4.63798964
241	4.63425903
242	4.630510071
243	4.627522034
244	4.623645054
245	4.621984069
246	4.616109198
247	4.613191139
248	4.606295369
249	4.599775317
250	4.594372285
251	4.591940691
252	4.588795783
253	4.584881343
254	4.582816145
255	4.575677594
256	4.572061176
257	4.570080126
258	4.562789586
259	4.561790433
260	4.558902165
261	4.556530404
262	4.552724575
263	4.549952496
264	4.54918856
265	4.547332738
266	4.543316632
267	4.541291133
268	4.53686407
269	4.53190276
270	4.529553504
271	4.52810774
272	4.521171688
273	4.520277114
274	4.514280535
275	4.51109403
276	4.506650095
277	4.50395693
278	4.499062147
279	4.4954509
280	4.491595736
281	4.487006903
282	4.485894173
283	4.484993652
284	4.481487218
285	4.47870333
286	4.476799669
287	4.475544588
288	4.474206933
289	4.473354488
290	4.471264428
291	4.465118604
292	4.462979561
293	4.46024902
294	4.455833048
295	4.453696158
296	4.450933322
297	4.448012091
298	4.444774383
299	4.441452133
300	4.436096171
301	4.433640738
302	4.432389179
303	4.43106686
304	4.426471066
305	4.420555608
306	4.416070192
307	4.41097895
308	4.408535491
309	4.407954242
310	4.402513775
311	4.399241449
312	4.397868463
313	4.392319736
314	4.391763839
315	4.387141521
316	4.384749542
317	4.383581447
318	4.380969656
319	4.37819857
320	4.376088426
321	4.370261875
322	4.367332131
323	4.362598708
324	4.358023516
325	4.354513161
326	4.350697424
327	4.346172478
328	4.34241728
329	4.339959605
330	4.337117961
331	4.336239519
332	4.335707583
333	4.334994544
334	4.332523253
335	4.327317549
336	4.322194439
337	4.319960719
338	4.316184114
339	4.312889377
340	4.309309496
341	4.308814308
342	4.307032121
343	4.301232543
344	4.300558448
345	4.297979351
346	4.297051247
347	4.296571467
348	4.293456702
349	4.28954895
350	4.288910393
351	4.288366377
352	4.283960438
353	4.281220356
354	4.279771933
355	4.273802517
356	4.270403674
357	4.263508545
358	4.260850682
359	4.256398924
360	4.252480119
361	4.25174106
362	4.246186379
363	4.245324409
364	4.241902598
365	4.237590431
366	4.236717591
367	4.232438095
368	4.231830974
369	4.231382643
370	4.228429664
371	4.225773848
372	4.220063017
373	4.218909806
374	4.215826677
375	4.213436849
376	4.209802317
377	4.207481677
378	4.202390302
379	4.199976338
380	4.195152192
381	4.19269583
382	4.190428574
383	4.189522133
384	4.184664681
385	4.1812914
386	4.179459399
387	4.176928385
388	4.173876196
389	4.171682279
390	4.168712825
391	4.168204852
392	4.162863787
393	4.162415002
394	4.158728059
395	4.157832901
396	4.157358575
397	4.156571399
398	4.156074477
399	4.153371203
400	4.152418075
401	4.15032197
402	4.146013754
403	4.144173424
404	4.143774257
405	4.139001804
406	4.136344169
407	4.131735425
408	4.128341302
409	4.127849652
410	4.124164615
411	4.121707732
412	4.121236658
413	4.118258318
414	4.115885523
415	4.115086226
416	4.113657953
417	4.11128163
418	4.10994304
419	4.104792143
420	4.100492093
421	4.09689631
422	4.092408838
423	4.087488295
424	4.087008105
425	4.083072479
426	4.081157342
427	4.076380394
428	4.072895219
429	4.072017398
430	4.069373544
431	4.065372602
432	4.061651368
433	4.058831464
434	4.055323464
435	4.053211908
436	4.051196122
437	4.050936794
438	4.049155279
439	4.048434535
440	4.044896343
441	4.042568697
442	4.039274419
443	4.038837817
444	4.038498857
445	4.03658866
446	4.03460375
447	4.032154653
448	4.029155859
449	4.026279175
450	4.025949776
451	4.022886266
452	4.020554592
453	4.016465181
454	4.014512062
455	4.011598871
456	4.008098908
457	4.007815288
458	4.005788571
459	4.001545198
460	4.001119366
461	3.997428524
462	3.997045507
463	3.99457011
464	3.991699399
465	3.988851447
466	3.985686079
467	3.982628637
468	3.98141724
469	3.978561322
470	3.977557406
471	3.974098535
472	3.9709462
473	3.969079621
474	3.964356356
475	3.962140321
476	3.958123176
477	3.956224797
478	3.954445079
479	3.950995203
480	3.950720004
481	3.948242215
482	3.94650999
483	3.94619395
484	3.94382209
485	3.94215026
486	3.94152107
487	3.937752733
488	3.934148896
489	3.930080934
490	3.928494664
491	3.925654865
492	3.924317794
493	3.923777742
494	3.920340245
495	3.917357221
496	3.915489356
497	3.913570558
498	3.910159276
499	3.905771014
500	3.903622988
501	3.903247219
502	3.8998654
503	3.896371909
504	3.892994578
505	3.890764274
506	3.887138971
507	3.88316001
508	3.880676018
509	3.877893744
510	3.875421587
511	3.874795527
512	3.871607186
513	3.870712532
514	3.867546814
515	3.865229258
516	3.865020352
517	3.862160692
518	3.861449719
519	3.85922961
520	3.855987488
521	3.852784306
522	3.851970209
523	3.849885499
524	3.848800001
525	3.845668815
526	3.844148085
527	3.8420568
528	3.839498452
529	3.837672928
530	3.837221228
531	3.834941294
532	3.833963639
533	3.832349884
534	3.829812213
535	3.826371639
536	3.824757043
537	3.821717402
538	3.820032067
539	3.816665052
540	3.813069181
541	3.809908327
542	3.807065071
543	3.806863106
544	3.803455014
545	3.800343223
546	3.799877998
547	3.798906394
548	3.79782458
549	3.794635573
550	3.793209053
551	3.792986132
552	3.79279503
553	3.789770842
554	3.786459163
555	3.784741813
556	3.781379687
557	3.778346188
558	3.776859811
559	3.774541858
560	3.774140058
561	3.771770098
562	3.770526522
563	3.76842349
564	3.765484921
565	3.765306846
566	3.763554645
567	3.762056549
568	3.758739036
569	3.758556684
570	3.756147564
571	3.754698984
572	3.75281863
573	3.751318034
574	3.750358799
575	3.74895398
576	3.746248586
577	3.744513516
578	3.74200382
579	3.738770297
580	3.736015587
581	3.733809564
582	3.733641256
583	3.731858951
584	3.731690028
585	3.730777819
586	3.729525457
587	3.727048466
588	3.724423121
589	3.722509486
590	3.719826623
591	3.718481703
592	3.718056801
593	3.717823128
594	3.716093582
595	3.714264697
596	3.713307202
597	3.709378883
598	3.707130569
599	3.706695721
600	3.704072366
601	3.703890327
602	3.700113604
603	3.697604304
604	3.696445078
605	3.696266628
606	3.693708096
607	3.691431144
608	3.688117997
609	3.684407844
610	3.682896671
611	3.682699641
612	3.679091965
613	3.677034304
614	3.674147708
615	3.672475623
616	3.669219509
617	3.667162997
618	3.666114467
619	3.663150761
620	3.66298535
621	3.662598857
622	3.661218336
623	3.660369132
624	3.659101988
625	3.657211596
626	3.655736799
627	3.655415573
628	3.653876751
629	3.652108346
630	3.648991385
631	3.646377422
632	3.646232629
633	3.645183445
634	3.644937945
635	3.641892984
636	3.638370232
637	3.635152168
638	3.633997854
639	3.6331611
640	3.629962309
641	3.626805877
642	3.624881504
643	3.624757678
644	3.623898529
645	3.621046219
646	3.617052355
647	3.612599615
648	3.610146223
649	3.607181303
650	3.606056898
651	3.605170376
652	3.604086874
653	3.602043022
654	3.599615043
655	3.598931015
656	3.598328725
657	3.595062737
658	3.592072414
659	3.590008439
660	3.586485427
661	3.586179349
662	3.585322551
663	3.584221859
664	3.580627091
665	3.577507121
666	3.576699221
667	3.576598808
668	3.575080149
669	3.573080741
670	3.571906708
671	3.569073526
672	3.568382236
673	3.565532066
674	3.564052448
675	3.561576665
676	3.558956319
677	3.557512692
678	3.555820166
679	3.554869519
680	3.553559417
681	3.552809498
682	3.548631346
683	3.54582605
684	3.545709563
685	3.544678378
686	3.542869524
687	3.540197567
688	3.538349895
689	3.537081691
690	3.534591922
691	3.530853927
692	3.530763872
693	3.529132974
694	3.526912514
695	3.526760311
696	3.524050706
697	3.523186871
698	3.520832912
699	3.518813915
700	3.517361344
701	3.515023165
702	3.514696067
703	3.512541306
704	3.511150261
705	3.509468381
706	3.507248006
707	3.503567738
708	3.50281326
709	3.499329438
710	3.497426892
711	3.494272431
712	3.494217666
713	3.492856015
714	3.492470498
715	3.491491503
716	3.488270807
717	3.48441167
718	3.482271176
719	3.481904647
720	3.47937174
721	3.477034709
722	3.474192024
723	3.472444479
724	3.470573113
725	3.470242021
726	3.467357311
727	3.466223912
728	3.464747165
729	3.460744504
730	3.460301495
731	3.460062117
732	3.459382441
733	3.456353554
734	3.453576237
735	3.45123713
736	3.450935264
737	3.449762188
738	3.448607284
739	3.446794284
740	3.446677941
741	3.443879965
742	3.441975107
743	3.441835669
744	3.441476935
745	3.441118512
746	3.439981519
747	3.438339242
748	3.43683334
749	3.43641172
750	3.435168612
751	3.4325268
752	3.430692431
753	3.429623207
754	3.427061597
755	3.426218131
756	3.425213188
757	3.424666752
758	3.421485021
759	3.421247328
760	3.419467164
761	3.417876155
762	3.415527408
763	3.412437273
764	3.411367541
765	3.41004294
766	3.407582334
767	3.404910204
768	3.404775778
769	3.402593067
770	3.400244386
771	3.400100282
772	3.398715926
773	3.396208508
774	3.396104182
775	3.394730091
776	3.393457251
777	3.392094476
778	3.391679207
779	3.389495239
780	3.388493163
781	3.387288485
782	3.384598327
783	3.383982891
784	3.381732233
785	3.381631943
786	3.381497408
787	3.380084191
788	3.380004735
789	3.378416299
790	3.374937078
791	3.371504727
792	3.371227024
793	3.369487574
794	3.367909724
795	3.365528623
796	3.365458554
797	3.364202896
798	3.364073809
799	3.362850805
800	3.36215986
801	3.357795303
802	3.354935773
803	3.353338634
804	3.352745795
805	3.352424926
806	3.349110819
807	3.348898146
808	3.347915682
809	3.345065494
810	3.344332773
811	3.340828937
812	3.340411453
813	3.338064146
814	3.335897571
815	3.332201544
816	3.332113222
817	3.330238149
818	3.328300021
819	3.325689724
820	3.322635558
821	3.319479812
822	3.317654031
823	3.317539408
824	3.315479751
825	3.314438236
826	3.31258833
827	3.311047579
828	3.309245533
829	3.308540007
830	3.305424735
831	3.303923544
832	3.302194224
833	3.301610683
834	3.299124136
835	3.296846427
836	3.29659209
837	3.295528676
838	3.2945275
839	3.294442
840	3.293895833
841	3.292511527
842	3.291403573
843	3.288926784
844	3.288114348
845	3.287300085
846	3.285737551
847	3.285279276
848	3.282799846
849	3.281071088
850	3.278566135
851	3.278262389
852	3.276498858
853	3.27560973
854	3.275502286
855	3.27271445
856	3.270243862
857	3.268960354
858	3.268023216
859	3.266889267
860	3.266810467
861	3.266424667
862	3.265609542
863	3.264198553
864	3.263261157
865	3.262291371
866	3.259325896
867	3.257022332
868	3.256946154
869	3.256590182
870	3.254156971
871	3.252832178
872	3.251554075
873	3.250049594
874	3.249182396
875	3.248326288
876	3.246505745
877	3.244692008
878	3.243265681
879	3.240972128
880	3.240168483
881	3.238235677
882	3.236585938
883	3.236274758
884	3.233089047
885	3.230697231
886	3.230543589
887	3.228878173
888	3.228250485
889	3.22623044
890	3.225538613
891	3.224297232
892	3.222515301
893	3.221352981
894	3.219776304
895	3.217129808
896	3.2153728
897	3.213140933
898	3.213076553
899	3.211324821
900	3.210478338
901	3.208866902
902	3.208575368
903	3.208530515
904	3.207928908
905	3.205408322
906	3.203272418
907	3.200820677
908	3.198634906
909	3.198595886
910	3.195466356
911	3.194768514
912	3.194713812
913	3.193711023
914	3.192208992
915	3.191154549
916	3.189563791
917	3.189271042
918	3.187698707
919	3.186971833
920	3.186902306
921	3.186860403
922	3.185264991
923	3.183058163
924	3.182275128
925	3.180455192
926	3.180327025
927	3.178148879
928	3.17724252
929	3.175457555
930	3.173039615
931	3.171749647
932	3.169765379
933	3.168178723
934	3.167381327
935	3.163118179
936	3.161368213
937	3.161278283
938	3.159146753
939	3.158222688
940	3.157617857
941	3.155740135
942	3.155297486
943	3.154654123
944	3.154606135
945	3.152098209
946	3.150353469
947	3.14875976
948	3.148703948
949	3.146493493
950	3.144617796
951	3.143956695
952	3.143666935
953	3.141197928
954	3.138692093
955	3.138625219
956	3.137027919
957	3.132767462
958	3.132022926
959	3.130892645
960	3.128081898
961	3.126848309
962	3.125038878
963	3.122905403
964	3.12283414
965	3.121961122
966	3.121806561
967	3.121765665
968	3.1210243
969	3.120846117
970	3.119027057
971	3.116297846
972	3.11380637
973	3.113289478
974	3.110777426
975	3.109834877
976	3.108951794
977	3.106997284
978	3.106431092
979	3.106264769
980	3.106217178
981	3.10616137
982	3.103998859
983	3.101979682
984	3.099765886
985	3.098930084
986	3.097409057
987	3.095959951
988	3.094412294
989	3.093076413
990	3.090882616
991	3.089525063
992	3.08611212
993	3.084188163
994	3.083090433
995	3.082810626
996	3.081499588
997	3.081391496
998	3.08050511
999	3.077830971
